samp,avg_abs,sal
A,0.06483333333,25
B,0.0671,25
Blk,0.014,25
A,0.0593,30
B,0.06646666667,30
Blk,0.011,30
A,0.0764,35
B,0.08,35
Blk,0.016,35
A,0.084,40
B,0.08333333333,40
Blk,0.0133,40
