samp,cmpd_name,area,cmpd_type,samp_type,sal,conc
240108_Smp_40ppt_Blk,Betonicine,530860,S,Smp,40,0
240108_Std_4uMStdsMix1InH2O_1,Betonicine,8224585728,S,Std,NA,4
240108_Std_4uMStdsMix1InH2O_2,Betonicine,12644717568,S,Std,NA,4
240108_Std_4uMStdsMix1InSynMatrix_1,Betonicine,12090894336,S,Std,NA,4
240108_Std_4uMStdsMix1InSynMatrix_2,Betonicine,12512169984,S,Std,NA,4
240108_Poo_Syn_Full1,Butyrylcarnitine,0,S,Poo,NA,0
240108_Poo_Syn_Full2,Butyrylcarnitine,62082,S,Poo,NA,0
240108_Poo_Syn_Full3,Butyrylcarnitine,104463,S,Poo,NA,0
240108_Poo_Syn_Half1,Butyrylcarnitine,36156,S,Poo,NA,0
240108_Poo_Syn_Half2,Butyrylcarnitine,52743,S,Poo,NA,0
240108_Poo_Syn_Half3,Butyrylcarnitine,28442,S,Poo,NA,0
240108_Smp_25ppt_A,Butyrylcarnitine,144371,S,Smp,25,0
240108_Smp_25ppt_B,Butyrylcarnitine,28940,S,Smp,25,0
240108_Smp_25ppt_Blk,Butyrylcarnitine,101526,S,Smp,25,0
240108_Smp_30ppt_A,Butyrylcarnitine,25275,S,Smp,30,0
240108_Smp_30ppt_B,Butyrylcarnitine,46485,S,Smp,30,0
240108_Smp_30ppt_Blk,Butyrylcarnitine,0,S,Smp,30,0
240108_Smp_35ppt_A,Butyrylcarnitine,55068,S,Smp,35,0
240108_Smp_35ppt_B,Butyrylcarnitine,58873,S,Smp,35,0
240108_Smp_35ppt_Blk,Butyrylcarnitine,26726,S,Smp,35,0
240108_Smp_40ppt_A,Butyrylcarnitine,39464,S,Smp,40,0
240108_Smp_40ppt_B,Butyrylcarnitine,35360,S,Smp,40,0
240108_Smp_40ppt_Blk,Butyrylcarnitine,148915,S,Smp,40,0
240108_Std_4uMStdsMix1InH2O_1,Butyrylcarnitine,8892003328,S,Std,NA,4
240108_Std_4uMStdsMix1InH2O_2,Butyrylcarnitine,15562519552,S,Std,NA,4
240108_Std_4uMStdsMix1InSynMatrix_1,Butyrylcarnitine,14577985536,S,Std,NA,4
240108_Std_4uMStdsMix1InSynMatrix_2,Butyrylcarnitine,15297586176,S,Std,NA,4
240108_Poo_Syn_Full1,Carnitine,219564,S,Poo,NA,0
240108_Poo_Syn_Full2,Carnitine,973793,S,Poo,NA,0
240108_Poo_Syn_Full3,Carnitine,740090,S,Poo,NA,0
240108_Poo_Syn_Half1,Carnitine,155702,S,Poo,NA,0
240108_Poo_Syn_Half2,Carnitine,215058,S,Poo,NA,0
240108_Poo_Syn_Half3,Carnitine,165809,S,Poo,NA,0
240108_Smp_25ppt_A,Carnitine,272797,S,Smp,25,0
240108_Smp_25ppt_B,Carnitine,319949,S,Smp,25,0
240108_Smp_25ppt_Blk,Carnitine,1736385,S,Smp,25,0
240108_Smp_30ppt_A,Carnitine,1787200,S,Smp,30,0
240108_Smp_30ppt_B,Carnitine,797806,S,Smp,30,0
240108_Smp_30ppt_Blk,Carnitine,514337,S,Smp,30,0
240108_Smp_35ppt_A,Carnitine,1188117,S,Smp,35,0
240108_Smp_35ppt_B,Carnitine,1097259,S,Smp,35,0
240108_Smp_35ppt_Blk,Carnitine,100595,S,Smp,35,0
240108_Smp_40ppt_A,Carnitine,896460,S,Smp,40,0
240108_Smp_40ppt_B,Carnitine,9909,S,Smp,40,0
240108_Smp_40ppt_Blk,Carnitine,126534,S,Smp,40,0
240108_Std_4uMStdsMix1InH2O_1,Carnitine,2948115968,S,Std,NA,1
240108_Std_4uMStdsMix1InH2O_2,Carnitine,4089497856,S,Std,NA,1
240108_Std_4uMStdsMix1InSynMatrix_1,Carnitine,3396743424,S,Std,NA,1
240108_Std_4uMStdsMix1InSynMatrix_2,Carnitine,3528362496,S,Std,NA,1
240108_Poo_Syn_Full1,Carnosine,126856,S,Poo,NA,0
240108_Poo_Syn_Full2,Carnosine,NA,S,Poo,NA,0
240108_Poo_Syn_Full3,Carnosine,NA,S,Poo,NA,0
240108_Poo_Syn_Half1,Carnosine,NA,S,Poo,NA,0
240108_Poo_Syn_Half2,Carnosine,NA,S,Poo,NA,0
240108_Poo_Syn_Half3,Carnosine,47905,S,Poo,NA,0
240108_Smp_25ppt_A,Carnosine,NA,S,Smp,25,0
240108_Smp_25ppt_B,Carnosine,35773,S,Smp,25,0
240108_Smp_25ppt_Blk,Carnosine,NA,S,Smp,25,0
240108_Smp_30ppt_A,Carnosine,NA,S,Smp,30,0
240108_Smp_30ppt_B,Carnosine,NA,S,Smp,30,0
240108_Smp_30ppt_Blk,Carnosine,NA,S,Smp,30,0
240108_Smp_35ppt_A,Carnosine,NA,S,Smp,35,0
240108_Smp_35ppt_B,Carnosine,NA,S,Smp,35,0
240108_Smp_35ppt_Blk,Carnosine,102699,S,Smp,35,0
240108_Smp_40ppt_A,Carnosine,NA,S,Smp,40,0
240108_Smp_40ppt_B,Carnosine,90593,S,Smp,40,0
240108_Smp_40ppt_Blk,Carnosine,29047,S,Smp,40,0
240108_Std_4uMStdsMix2InH2O_1,Carnosine,311439456,S,Std,NA,4
240108_Std_4uMStdsMix2InH2O_2,Carnosine,241558336,S,Std,NA,4
240108_Std_4uMStdsMix2InSynMatrix_1,Carnosine,503464544,S,Std,NA,4
240108_Std_4uMStdsMix2InSynMatrix_2,Carnosine,955268032,S,Std,NA,4
240108_Poo_Syn_Full1,Chitobiose,21486026,S,Poo,NA,0
240108_Poo_Syn_Full2,Chitobiose,2687370,S,Poo,NA,0
240108_Poo_Syn_Full3,Chitobiose,5879049,S,Poo,NA,0
240108_Poo_Syn_Half1,Chitobiose,9291804,S,Poo,NA,0
240108_Poo_Syn_Half2,Chitobiose,935105,S,Poo,NA,0
240108_Poo_Syn_Half3,Chitobiose,6734540,S,Poo,NA,0
240108_Smp_25ppt_A,Chitobiose,15057072,S,Smp,25,0
240108_Smp_25ppt_B,Chitobiose,15908801,S,Smp,25,0
240108_Smp_25ppt_Blk,Chitobiose,0,S,Smp,25,0
240108_Smp_30ppt_A,Chitobiose,9926473,S,Smp,30,0
240108_Smp_30ppt_B,Chitobiose,12989513,S,Smp,30,0
240108_Smp_30ppt_Blk,Chitobiose,0,S,Smp,30,0
240108_Smp_35ppt_A,Chitobiose,36581096,S,Smp,35,0
240108_Smp_35ppt_B,Chitobiose,20058790,S,Smp,35,0
240108_Smp_35ppt_Blk,Chitobiose,0,S,Smp,35,0
240108_Smp_40ppt_A,Chitobiose,35409780,S,Smp,40,0
240108_Smp_40ppt_B,Chitobiose,37855088,S,Smp,40,0
240108_Smp_40ppt_Blk,Chitobiose,0,S,Smp,40,0
240108_Std_4uMStdsMix2InH2O_1,Chitobiose,101983368,S,Std,NA,4
240108_Std_4uMStdsMix2InH2O_2,Chitobiose,154276288,S,Std,NA,4
240108_Std_4uMStdsMix2InSynMatrix_1,Chitobiose,52817800,S,Std,NA,4
240108_Std_4uMStdsMix2InSynMatrix_2,Chitobiose,64931936,S,Std,NA,4
240108_Poo_Syn_Full1,Choline,1748943,S,Poo,NA,0
240108_Poo_Syn_Full2,Choline,1183076,S,Poo,NA,0
240108_Poo_Syn_Full3,Choline,533358,S,Poo,NA,0
240108_Poo_Syn_Half1,Choline,1756324,S,Poo,NA,0
240108_Poo_Syn_Half2,Choline,694786,S,Poo,NA,0
240108_Poo_Syn_Half3,Choline,2547126,S,Poo,NA,0
240108_Smp_25ppt_A,Choline,1314656,S,Smp,25,0
240108_Smp_25ppt_B,Choline,537982,S,Smp,25,0
240108_Smp_25ppt_Blk,Choline,15867623,S,Smp,25,0
240108_Smp_30ppt_A,Choline,7522604,S,Smp,30,0
240108_Smp_30ppt_B,Choline,6036358,S,Smp,30,0
240108_Smp_30ppt_Blk,Choline,4539161,S,Smp,30,0
240108_Smp_35ppt_A,Choline,NA,S,Smp,35,0
240108_Smp_35ppt_B,Choline,23222876,S,Smp,35,0
240108_Smp_35ppt_Blk,Choline,906401,S,Smp,35,0
240108_Smp_40ppt_A,Choline,1781828,S,Smp,40,0
240108_Smp_40ppt_B,Choline,3187623,S,Smp,40,0
240108_Smp_40ppt_Blk,Choline,5012407,S,Smp,40,0
240108_Std_4uMStdsMix1InH2O_1,Choline,5545955328,S,Std,NA,4
240108_Std_4uMStdsMix1InH2O_2,Choline,6406187520,S,Std,NA,4
240108_Std_4uMStdsMix1InSynMatrix_1,Choline,5479321600,S,Std,NA,4
240108_Std_4uMStdsMix1InSynMatrix_2,Choline,5148150272,S,Std,NA,4
240108_Poo_Syn_Full1,Choline sulfate,NA,S,Poo,NA,0
240108_Poo_Syn_Full2,Choline sulfate,NA,S,Poo,NA,0
240108_Poo_Syn_Full3,Choline sulfate,NA,S,Poo,NA,0
240108_Poo_Syn_Half1,Choline sulfate,NA,S,Poo,NA,0
240108_Poo_Syn_Half2,Choline sulfate,NA,S,Poo,NA,0
240108_Poo_Syn_Half3,Choline sulfate,NA,S,Poo,NA,0
240108_Smp_25ppt_A,Choline sulfate,NA,S,Smp,25,0
240108_Smp_25ppt_B,Choline sulfate,13635,S,Smp,25,0
240108_Smp_25ppt_Blk,Choline sulfate,75682,S,Smp,25,0
240108_Smp_30ppt_A,Choline sulfate,NA,S,Smp,30,0
240108_Smp_30ppt_B,Choline sulfate,NA,S,Smp,30,0
240108_Smp_30ppt_Blk,Choline sulfate,NA,S,Smp,30,0
240108_Smp_35ppt_A,Choline sulfate,NA,S,Smp,35,0
240108_Smp_35ppt_B,Choline sulfate,NA,S,Smp,35,0
240108_Smp_35ppt_Blk,Choline sulfate,NA,S,Smp,35,0
240108_Smp_40ppt_A,Choline sulfate,NA,S,Smp,40,0
240108_Smp_40ppt_B,Choline sulfate,NA,S,Smp,40,0
240108_Smp_40ppt_Blk,Choline sulfate,NA,S,Smp,40,0
240108_Std_4uMStdsMix1InH2O_1,Choline sulfate,952311168,S,Std,NA,5
240108_Std_4uMStdsMix1InH2O_2,Choline sulfate,2191223040,S,Std,NA,5
240108_Std_4uMStdsMix1InSynMatrix_1,Choline sulfate,2033058816,S,Std,NA,5
240108_Std_4uMStdsMix1InSynMatrix_2,Choline sulfate,2281812224,S,Std,NA,5
240108_Poo_Syn_Full1,Citrulline,47434412,S,Poo,NA,0
240108_Poo_Syn_Full2,Citrulline,49436380,S,Poo,NA,0
240108_Poo_Syn_Full3,Citrulline,73425488,S,Poo,NA,0
240108_Poo_Syn_Half1,Citrulline,22163640,S,Poo,NA,0
240108_Poo_Syn_Half2,Citrulline,21104642,S,Poo,NA,0
240108_Poo_Syn_Half3,Citrulline,31713608,S,Poo,NA,0
240108_Smp_25ppt_A,Citrulline,32967802,S,Smp,25,0
240108_Smp_25ppt_B,Citrulline,41590976,S,Smp,25,0
240108_Smp_25ppt_Blk,Citrulline,737932,S,Smp,25,0
240108_Smp_30ppt_A,Citrulline,48436192,S,Smp,30,0
240108_Smp_30ppt_B,Citrulline,57391156,S,Smp,30,0
240108_Smp_30ppt_Blk,Citrulline,994062,S,Smp,30,0
240108_Smp_35ppt_A,Citrulline,56905608,S,Smp,35,0
240108_Smp_35ppt_B,Citrulline,49287896,S,Smp,35,0
240108_Smp_35ppt_Blk,Citrulline,668171,S,Smp,35,0
240108_Smp_40ppt_A,Citrulline,123764352,S,Smp,40,0
240108_Smp_40ppt_B,Citrulline,102941656,S,Smp,40,0
240108_Smp_40ppt_Blk,Citrulline,2050861,S,Smp,40,0
240108_Std_4uMStdsMix1InH2O_1,Citrulline,255924176,S,Std,NA,4
240108_Std_4uMStdsMix1InH2O_2,Citrulline,223303408,S,Std,NA,4
240108_Std_4uMStdsMix1InSynMatrix_1,Citrulline,336983456,S,Std,NA,4
240108_Std_4uMStdsMix1InSynMatrix_2,Citrulline,536739392,S,Std,NA,4
240108_Poo_Syn_Full1,Creatine,2646527,S,Poo,NA,0
240108_Poo_Syn_Full2,Creatine,2637451,S,Poo,NA,0
240108_Poo_Syn_Full3,Creatine,2218126,S,Poo,NA,0
240108_Poo_Syn_Half1,Creatine,1708920,S,Poo,NA,0
240108_Poo_Syn_Half2,Creatine,1739628,S,Poo,NA,0
240108_Poo_Syn_Half3,Creatine,2311254,S,Poo,NA,0
240108_Smp_25ppt_A,Creatine,1174676,S,Smp,25,0
240108_Smp_25ppt_B,Creatine,618550,S,Smp,25,0
240108_Smp_25ppt_Blk,Creatine,4613260,S,Smp,25,0
240108_Smp_30ppt_A,Creatine,7430431,S,Smp,30,0
240108_Smp_30ppt_B,Creatine,2831048,S,Smp,30,0
240108_Smp_30ppt_Blk,Creatine,2100353,S,Smp,30,0
240108_Smp_35ppt_A,Creatine,2168936,S,Smp,35,0
240108_Smp_35ppt_B,Creatine,3343117,S,Smp,35,0
240108_Smp_35ppt_Blk,Creatine,2450698,S,Smp,35,0
240108_Smp_40ppt_A,Creatine,545011,S,Smp,40,0
240108_Smp_40ppt_B,Creatine,2517010,S,Smp,40,0
240108_Smp_40ppt_Blk,Creatine,643051,S,Smp,40,0
240108_Std_4uMStdsMix1InH2O_1,Creatine,3367422720,S,Std,NA,4
240108_Std_4uMStdsMix1InH2O_2,Creatine,5961905152,S,Std,NA,4
240108_Std_4uMStdsMix1InSynMatrix_1,Creatine,5763883520,S,Std,NA,4
240108_Std_4uMStdsMix1InSynMatrix_2,Creatine,6107929088,S,Std,NA,4
240108_Poo_Syn_Full1,Creatinine,1989920,S,Poo,NA,0
240108_Poo_Syn_Full2,Creatinine,3841265,S,Poo,NA,0
240108_Poo_Syn_Full3,Creatinine,2559659,S,Poo,NA,0
240108_Poo_Syn_Half1,Creatinine,3986016,S,Poo,NA,0
240108_Poo_Syn_Half2,Creatinine,1866234,S,Poo,NA,0
240108_Poo_Syn_Half3,Creatinine,3402567,S,Poo,NA,0
240108_Smp_25ppt_A,Creatinine,2850307,S,Smp,25,0
240108_Smp_25ppt_B,Creatinine,593264,S,Smp,25,0
240108_Smp_25ppt_Blk,Creatinine,1713683,S,Smp,25,0
240108_Smp_30ppt_A,Creatinine,4591717,S,Smp,30,0
240108_Smp_30ppt_B,Creatinine,1384406,S,Smp,30,0
240108_Smp_30ppt_Blk,Creatinine,2958435,S,Smp,30,0
240108_Smp_35ppt_A,Creatinine,1621931,S,Smp,35,0
240108_Smp_35ppt_B,Creatinine,4495369,S,Smp,35,0
240108_Smp_35ppt_Blk,Creatinine,2298617,S,Smp,35,0
240108_Smp_40ppt_A,Creatinine,1327777,S,Smp,40,0
240108_Smp_40ppt_B,Creatinine,3062291,S,Smp,40,0
240108_Smp_40ppt_Blk,Creatinine,1797686,S,Smp,40,0
240108_Std_4uMStdsMix1InH2O_1,Creatinine,4576974336,S,Std,NA,4
240108_Std_4uMStdsMix1InH2O_2,Creatinine,8940934144,S,Std,NA,4
240108_Std_4uMStdsMix1InSynMatrix_1,Creatinine,7945573376,S,Std,NA,4
240108_Std_4uMStdsMix1InSynMatrix_2,Creatinine,8404886528,S,Std,NA,4
240108_Poo_Syn_Full1,"Cys-Gly, oxidized",NA,S,Poo,NA,0
240108_Poo_Syn_Full2,"Cys-Gly, oxidized",NA,S,Poo,NA,0
240108_Poo_Syn_Full3,"Cys-Gly, oxidized",103226,S,Poo,NA,0
240108_Poo_Syn_Half1,"Cys-Gly, oxidized",12177,S,Poo,NA,0
240108_Poo_Syn_Half2,"Cys-Gly, oxidized",NA,S,Poo,NA,0
240108_Poo_Syn_Half3,"Cys-Gly, oxidized",25293,S,Poo,NA,0
240108_Smp_25ppt_A,"Cys-Gly, oxidized",NA,S,Smp,25,0
240108_Smp_25ppt_B,"Cys-Gly, oxidized",37690,S,Smp,25,0
240108_Smp_25ppt_Blk,"Cys-Gly, oxidized",NA,S,Smp,25,0
240108_Smp_30ppt_A,"Cys-Gly, oxidized",32981,S,Smp,30,0
240108_Smp_30ppt_B,"Cys-Gly, oxidized",NA,S,Smp,30,0
240108_Smp_30ppt_Blk,"Cys-Gly, oxidized",NA,S,Smp,30,0
240108_Smp_35ppt_A,"Cys-Gly, oxidized",61359,S,Smp,35,0
240108_Smp_35ppt_B,"Cys-Gly, oxidized",94310,S,Smp,35,0
240108_Smp_35ppt_Blk,"Cys-Gly, oxidized",NA,S,Smp,35,0
240108_Smp_40ppt_A,"Cys-Gly, oxidized",63034,S,Smp,40,0
240108_Smp_40ppt_B,"Cys-Gly, oxidized",11293,S,Smp,40,0
240108_Smp_40ppt_Blk,"Cys-Gly, oxidized",NA,S,Smp,40,0
240108_Std_4uMStdsMix1InH2O_1,"Cys-Gly, oxidized",59598944,S,Std,NA,4
240108_Std_4uMStdsMix1InH2O_2,"Cys-Gly, oxidized",78966600,S,Std,NA,4
240108_Std_4uMStdsMix1InSynMatrix_1,"Cys-Gly, oxidized",93826600,S,Std,NA,4
240108_Std_4uMStdsMix1InSynMatrix_2,"Cys-Gly, oxidized",145801296,S,Std,NA,4
240108_Poo_Syn_Full1,Cytidine,2753306,S,Poo,NA,0
240108_Poo_Syn_Full2,Cytidine,2858602,S,Poo,NA,0
240108_Poo_Syn_Full3,Cytidine,3101472,S,Poo,NA,0
240108_Poo_Syn_Half1,Cytidine,1077483,S,Poo,NA,0
240108_Poo_Syn_Half2,Cytidine,1203157,S,Poo,NA,0
240108_Poo_Syn_Half3,Cytidine,1419194,S,Poo,NA,0
240108_Smp_25ppt_A,Cytidine,4220532,S,Smp,25,0
240108_Smp_25ppt_B,Cytidine,3336480,S,Smp,25,0
240108_Smp_25ppt_Blk,Cytidine,0,S,Smp,25,0
240108_Smp_30ppt_A,Cytidine,3252525,S,Smp,30,0
240108_Smp_30ppt_B,Cytidine,3309279,S,Smp,30,0
240108_Smp_30ppt_Blk,Cytidine,0,S,Smp,30,0
240108_Smp_35ppt_A,Cytidine,2491840,S,Smp,35,0
240108_Smp_35ppt_B,Cytidine,2171229,S,Smp,35,0
240108_Smp_35ppt_Blk,Cytidine,0,S,Smp,35,0
240108_Smp_40ppt_A,Cytidine,3625722,S,Smp,40,0
240108_Smp_40ppt_B,Cytidine,3482775,S,Smp,40,0
240108_Smp_40ppt_Blk,Cytidine,58722,S,Smp,40,0
240108_Std_4uMStdsMix2InH2O_1,Cytidine,392333504,S,Std,NA,4
240108_Std_4uMStdsMix2InH2O_2,Cytidine,815734272,S,Std,NA,4
240108_Std_4uMStdsMix2InSynMatrix_1,Cytidine,601371968,S,Std,NA,4
240108_Std_4uMStdsMix2InSynMatrix_2,Cytidine,797668288,S,Std,NA,4
240108_Poo_Syn_Full1,Cytosine,180330880,S,Poo,NA,0
240108_Poo_Syn_Full2,Cytosine,165296576,S,Poo,NA,0
240108_Poo_Syn_Full3,Cytosine,164896176,S,Poo,NA,0
240108_Poo_Syn_Half1,Cytosine,90607240,S,Poo,NA,0
240108_Poo_Syn_Half2,Cytosine,88101024,S,Poo,NA,0
240108_Poo_Syn_Half3,Cytosine,87724136,S,Poo,NA,0
240108_Smp_25ppt_A,Cytosine,221600400,S,Smp,25,0
240108_Smp_25ppt_B,Cytosine,187889824,S,Smp,25,0
240108_Smp_25ppt_Blk,Cytosine,5039754,S,Smp,25,0
240108_Smp_30ppt_A,Cytosine,130825232,S,Smp,30,0
240108_Smp_30ppt_B,Cytosine,258162352,S,Smp,30,0
240108_Smp_30ppt_Blk,Cytosine,4711279,S,Smp,30,0
240108_Smp_35ppt_A,Cytosine,192251104,S,Smp,35,0
240108_Smp_35ppt_B,Cytosine,125578008,S,Smp,35,0
240108_Smp_35ppt_Blk,Cytosine,8591900,S,Smp,35,0
240108_Smp_40ppt_A,Cytosine,137371632,S,Smp,40,0
240108_Smp_40ppt_B,Cytosine,227846672,S,Smp,40,0
240108_Smp_40ppt_Blk,Cytosine,6630485,S,Smp,40,0
240108_Std_4uMStdsMix2InH2O_1,Cytosine,3423722240,S,Std,NA,4
240108_Std_4uMStdsMix2InH2O_2,Cytosine,6010880000,S,Std,NA,4
240108_Std_4uMStdsMix2InSynMatrix_1,Cytosine,5720822784,S,Std,NA,4
240108_Std_4uMStdsMix2InSynMatrix_2,Cytosine,5937967104,S,Std,NA,4
240108_Poo_Syn_Full1,"Cytosine, 13C2, 15N3",1081685504,IS,Poo,NA,0
240108_Poo_Syn_Full2,"Cytosine, 13C2, 15N3",991191936,IS,Poo,NA,0
240108_Poo_Syn_Full3,"Cytosine, 13C2, 15N3",954498560,IS,Poo,NA,0
240108_Poo_Syn_Half1,"Cytosine, 13C2, 15N3",500013536,IS,Poo,NA,0
240108_Poo_Syn_Half2,"Cytosine, 13C2, 15N3",530164864,IS,Poo,NA,0
240108_Poo_Syn_Half3,"Cytosine, 13C2, 15N3",540139072,IS,Poo,NA,0
240108_Smp_25ppt_A,"Cytosine, 13C2, 15N3",1102869888,IS,Smp,25,0
240108_Smp_25ppt_B,"Cytosine, 13C2, 15N3",1059675328,IS,Smp,25,0
240108_Smp_25ppt_Blk,"Cytosine, 13C2, 15N3",957839232,IS,Smp,25,0
240108_Smp_30ppt_A,"Cytosine, 13C2, 15N3",1030593664,IS,Smp,30,0
240108_Smp_30ppt_B,"Cytosine, 13C2, 15N3",983893056,IS,Smp,30,0
240108_Smp_30ppt_Blk,"Cytosine, 13C2, 15N3",1045122368,IS,Smp,30,0
240108_Smp_35ppt_A,"Cytosine, 13C2, 15N3",723242368,IS,Smp,35,0
240108_Smp_35ppt_B,"Cytosine, 13C2, 15N3",722718464,IS,Smp,35,0
240108_Smp_35ppt_Blk,"Cytosine, 13C2, 15N3",947959872,IS,Smp,35,0
240108_Smp_40ppt_A,"Cytosine, 13C2, 15N3",1051936704,IS,Smp,40,0
240108_Smp_40ppt_B,"Cytosine, 13C2, 15N3",1017889920,IS,Smp,40,0
240108_Smp_40ppt_Blk,"Cytosine, 13C2, 15N3",986567360,IS,Smp,40,0
240108_Poo_Syn_Full1,"DL-Alanine, 2H3",90224960,IS,Poo,NA,0
240108_Poo_Syn_Full2,"DL-Alanine, 2H3",114763464,IS,Poo,NA,0
240108_Poo_Syn_Full3,"DL-Alanine, 2H3",137310016,IS,Poo,NA,0
240108_Poo_Syn_Half1,"DL-Alanine, 2H3",63484064,IS,Poo,NA,0
240108_Poo_Syn_Half2,"DL-Alanine, 2H3",61635876,IS,Poo,NA,0
240108_Poo_Syn_Half3,"DL-Alanine, 2H3",82451928,IS,Poo,NA,0
240108_Smp_25ppt_A,"DL-Alanine, 2H3",110892736,IS,Smp,25,0
240108_Smp_25ppt_B,"DL-Alanine, 2H3",128133912,IS,Smp,25,0
240108_Smp_25ppt_Blk,"DL-Alanine, 2H3",138386352,IS,Smp,25,0
240108_Smp_30ppt_A,"DL-Alanine, 2H3",122477984,IS,Smp,30,0
240108_Smp_30ppt_B,"DL-Alanine, 2H3",122191344,IS,Smp,30,0
240108_Smp_30ppt_Blk,"DL-Alanine, 2H3",125768608,IS,Smp,30,0
240108_Smp_35ppt_A,"DL-Alanine, 2H3",88596264,IS,Smp,35,0
240108_Smp_35ppt_B,"DL-Alanine, 2H3",86463152,IS,Smp,35,0
240108_Smp_35ppt_Blk,"DL-Alanine, 2H3",128296008,IS,Smp,35,0
240108_Smp_40ppt_A,"DL-Alanine, 2H3",134740240,IS,Smp,40,0
240108_Smp_40ppt_B,"DL-Alanine, 2H3",132548768,IS,Smp,40,0
240108_Smp_40ppt_Blk,"DL-Alanine, 2H3",127553192,IS,Smp,40,0
240108_Poo_Syn_Full1,"DL-Histidine, 15N",NA,IS,Poo,NA,0
240108_Poo_Syn_Full2,"DL-Histidine, 15N",NA,IS,Poo,NA,0
240108_Poo_Syn_Full3,"DL-Histidine, 15N",NA,IS,Poo,NA,0
240108_Poo_Syn_Half1,"DL-Histidine, 15N",NA,IS,Poo,NA,0
240108_Poo_Syn_Half2,"DL-Histidine, 15N",NA,IS,Poo,NA,0
240108_Poo_Syn_Half3,"DL-Histidine, 15N",NA,IS,Poo,NA,0
240108_Smp_25ppt_A,"DL-Histidine, 15N",NA,IS,Smp,25,0
240108_Smp_25ppt_B,"DL-Histidine, 15N",NA,IS,Smp,25,0
240108_Smp_25ppt_Blk,"DL-Histidine, 15N",NA,IS,Smp,25,0
240108_Smp_30ppt_A,"DL-Histidine, 15N",NA,IS,Smp,30,0
240108_Smp_30ppt_B,"DL-Histidine, 15N",NA,IS,Smp,30,0
240108_Smp_30ppt_Blk,"DL-Histidine, 15N",NA,IS,Smp,30,0
240108_Smp_35ppt_A,"DL-Histidine, 15N",NA,IS,Smp,35,0
240108_Smp_35ppt_B,"DL-Histidine, 15N",NA,IS,Smp,35,0
240108_Smp_35ppt_Blk,"DL-Histidine, 15N",NA,IS,Smp,35,0
240108_Smp_40ppt_A,"DL-Histidine, 15N",NA,IS,Smp,40,0
240108_Smp_40ppt_B,"DL-Histidine, 15N",NA,IS,Smp,40,0
240108_Smp_40ppt_Blk,"DL-Histidine, 15N",NA,IS,Smp,40,0
240108_Poo_Syn_Full1,"DL-Proline, 2H7",234326192,IS,Poo,NA,0
240108_Poo_Syn_Full2,"DL-Proline, 2H7",217628480,IS,Poo,NA,0
240108_Poo_Syn_Full3,"DL-Proline, 2H7",220377568,IS,Poo,NA,0
240108_Poo_Syn_Half1,"DL-Proline, 2H7",123070424,IS,Poo,NA,0
240108_Poo_Syn_Half2,"DL-Proline, 2H7",109104048,IS,Poo,NA,0
240108_Poo_Syn_Half3,"DL-Proline, 2H7",109339200,IS,Poo,NA,0
240108_Smp_25ppt_A,"DL-Proline, 2H7",294050624,IS,Smp,25,0
240108_Smp_25ppt_B,"DL-Proline, 2H7",302503616,IS,Smp,25,0
240108_Smp_25ppt_Blk,"DL-Proline, 2H7",288629088,IS,Smp,25,0
240108_Smp_30ppt_A,"DL-Proline, 2H7",244916320,IS,Smp,30,0
240108_Smp_30ppt_B,"DL-Proline, 2H7",253217856,IS,Smp,30,0
240108_Smp_30ppt_Blk,"DL-Proline, 2H7",220586320,IS,Smp,30,0
240108_Smp_35ppt_A,"DL-Proline, 2H7",178473792,IS,Smp,35,0
240108_Smp_35ppt_B,"DL-Proline, 2H7",173284128,IS,Smp,35,0
240108_Smp_35ppt_Blk,"DL-Proline, 2H7",212085776,IS,Smp,35,0
240108_Smp_40ppt_A,"DL-Proline, 2H7",249135136,IS,Smp,40,0
240108_Smp_40ppt_B,"DL-Proline, 2H7",250976640,IS,Smp,40,0
240108_Smp_40ppt_Blk,"DL-Proline, 2H7",197943152,IS,Smp,40,0
240108_Poo_Syn_Full1,"DL-Valine, 2H8",94581192,IS,Poo,NA,0
240108_Poo_Syn_Full2,"DL-Valine, 2H8",93746392,IS,Poo,NA,0
240108_Poo_Syn_Full3,"DL-Valine, 2H8",98268736,IS,Poo,NA,0
240108_Poo_Syn_Half1,"DL-Valine, 2H8",49760932,IS,Poo,NA,0
240108_Poo_Syn_Half2,"DL-Valine, 2H8",51876300,IS,Poo,NA,0
240108_Poo_Syn_Half3,"DL-Valine, 2H8",54599428,IS,Poo,NA,0
240108_Smp_25ppt_A,"DL-Valine, 2H8",95352680,IS,Smp,25,0
240108_Smp_25ppt_B,"DL-Valine, 2H8",92597024,IS,Smp,25,0
240108_Smp_25ppt_Blk,"DL-Valine, 2H8",93609984,IS,Smp,25,0
240108_Smp_30ppt_A,"DL-Valine, 2H8",97658568,IS,Smp,30,0
240108_Smp_30ppt_B,"DL-Valine, 2H8",96921120,IS,Smp,30,0
240108_Smp_30ppt_Blk,"DL-Valine, 2H8",93579920,IS,Smp,30,0
240108_Smp_35ppt_A,"DL-Valine, 2H8",77138432,IS,Smp,35,0
240108_Smp_35ppt_B,"DL-Valine, 2H8",73425232,IS,Smp,35,0
240108_Smp_35ppt_Blk,"DL-Valine, 2H8",89699056,IS,Smp,35,0
240108_Smp_40ppt_A,"DL-Valine, 2H8",106996304,IS,Smp,40,0
