cmpd_name,samp,nm,sal
2-Heptyl-3-hydroxy-quinolone,240108_Smp_25ppt_A,197203508416648.53,25
2-Heptyl-3-hydroxy-quinolone,240108_Smp_25ppt_B,315892340116391.25,25
2-Heptyl-3-hydroxy-quinolone,240108_Smp_25ppt_Blk,74154420223433,25
2-Heptyl-3-hydroxy-quinolone,240108_Smp_30ppt_A,51924336449901.41,30
2-Heptyl-3-hydroxy-quinolone,240108_Smp_30ppt_B,94179682235221.69,30
2-Heptyl-3-hydroxy-quinolone,240108_Smp_30ppt_Blk,65427885659076.91,30
2-Heptyl-3-hydroxy-quinolone,240108_Smp_35ppt_A,295172590734577.94,35
2-Heptyl-3-hydroxy-quinolone,240108_Smp_35ppt_B,81420729716625.72,35
2-Heptyl-3-hydroxy-quinolone,240108_Smp_35ppt_Blk,129329900450252.62,35
2-Heptyl-3-hydroxy-quinolone,240108_Smp_40ppt_A,130367834303398.02,40
2-Heptyl-3-hydroxy-quinolone,240108_Smp_40ppt_B,339681401381722.7,40
2-Heptyl-3-hydroxy-quinolone,240108_Smp_40ppt_Blk,352091608702170.56,40
2-O-alpha-D-Glucosylglycerol,240108_Poo_Syn_Full1,92522191911893950,NA
2-O-alpha-D-Glucosylglycerol,240108_Poo_Syn_Full2,83313339199912130,NA
2-O-alpha-D-Glucosylglycerol,240108_Poo_Syn_Full3,85356612568137792,NA
2-O-alpha-D-Glucosylglycerol,240108_Poo_Syn_Half1,85974227865938320,NA
2-O-alpha-D-Glucosylglycerol,240108_Poo_Syn_Half2,87457406440131630,NA
2-O-alpha-D-Glucosylglycerol,240108_Poo_Syn_Half3,91879154418230880,NA
2-O-alpha-D-Glucosylglycerol,240108_Smp_25ppt_A,12304431697386822,25
2-O-alpha-D-Glucosylglycerol,240108_Smp_25ppt_B,12053234079659812,25
2-O-alpha-D-Glucosylglycerol,240108_Smp_25ppt_Blk,0,25
2-O-alpha-D-Glucosylglycerol,240108_Smp_30ppt_A,47291801155277064,30
2-O-alpha-D-Glucosylglycerol,240108_Smp_30ppt_B,61513378856083440,30
2-O-alpha-D-Glucosylglycerol,240108_Smp_30ppt_Blk,0,30
2-O-alpha-D-Glucosylglycerol,240108_Smp_35ppt_A,166987972109570700,35
2-O-alpha-D-Glucosylglycerol,240108_Smp_35ppt_B,137528367044790220,35
2-O-alpha-D-Glucosylglycerol,240108_Smp_35ppt_Blk,0,35
2-O-alpha-D-Glucosylglycerol,240108_Smp_40ppt_A,164371812998580540,40
2-O-alpha-D-Glucosylglycerol,240108_Smp_40ppt_B,149280860935362900,40
2-O-alpha-D-Glucosylglycerol,240108_Smp_40ppt_Blk,0,40
4-Aminobutyric acid,240108_Poo_Syn_Full1,333699710254811400,NA
4-Aminobutyric acid,240108_Poo_Syn_Full2,258942426137595300,NA
4-Aminobutyric acid,240108_Poo_Syn_Full3,323490911176540500,NA
4-Aminobutyric acid,240108_Poo_Syn_Half1,414735622013855700,NA
4-Aminobutyric acid,240108_Poo_Syn_Half2,544263893740852350,NA
4-Aminobutyric acid,240108_Poo_Syn_Half3,730947359518947200,NA
4-Aminobutyric acid,240108_Smp_25ppt_A,203114464581347970,25
4-Aminobutyric acid,240108_Smp_25ppt_B,96724008394324700,25
4-Aminobutyric acid,240108_Smp_25ppt_Blk,319256250155481100,25
4-Aminobutyric acid,240108_Smp_30ppt_A,156869605604870270,30
4-Aminobutyric acid,240108_Smp_30ppt_B,186689716203793860,30
4-Aminobutyric acid,240108_Smp_30ppt_Blk,329897300317768960,30
4-Aminobutyric acid,240108_Smp_35ppt_A,460367457717463940,35
4-Aminobutyric acid,240108_Smp_35ppt_B,428353033055943100,35
4-Aminobutyric acid,240108_Smp_35ppt_Blk,377647467316796300,35
4-Aminobutyric acid,240108_Smp_40ppt_A,291953600464842800,40
4-Aminobutyric acid,240108_Smp_40ppt_B,336992951201426240,40
4-Aminobutyric acid,240108_Smp_40ppt_Blk,387734273508305800,40
5-Hydroxyectoine,240108_Poo_Syn_Full1,1971141450654365,NA
5-Hydroxyectoine,240108_Poo_Syn_Full2,3797786167401816.5,NA
5-Hydroxyectoine,240108_Poo_Syn_Full3,4988311948190472,NA
5-Hydroxyectoine,240108_Poo_Syn_Half1,6045997945917168,NA
5-Hydroxyectoine,240108_Poo_Syn_Half2,4427602287785921,NA
5-Hydroxyectoine,240108_Poo_Syn_Half3,8061451561360755,NA
5-Hydroxyectoine,240108_Smp_25ppt_A,1392687659816100.2,25
5-Hydroxyectoine,240108_Smp_25ppt_B,2642374527790418,25
5-Hydroxyectoine,240108_Smp_25ppt_Blk,1487766270363238.5,25
5-Hydroxyectoine,240108_Smp_30ppt_A,2231844841901214.2,30
5-Hydroxyectoine,240108_Smp_30ppt_B,1068801053019398.4,30
5-Hydroxyectoine,240108_Smp_30ppt_Blk,3435635771007718.5,30
5-Hydroxyectoine,240108_Smp_35ppt_A,4922581478625122,35
5-Hydroxyectoine,240108_Smp_35ppt_B,3761596200807117.5,35
5-Hydroxyectoine,240108_Smp_35ppt_Blk,1904400813638881.2,35
5-Hydroxyectoine,240108_Smp_40ppt_A,3647973088373028.5,40
5-Hydroxyectoine,240108_Smp_40ppt_B,1378896394171462,40
5-Hydroxyectoine,240108_Smp_40ppt_Blk,3200179063610170,40
5-Methylcytosine,240108_Poo_Syn_Full1,-8327273017349278,NA
5-Methylcytosine,240108_Poo_Syn_Full2,-4351359589536873,NA
5-Methylcytosine,240108_Poo_Syn_Full3,-9890386243387538,NA
5-Methylcytosine,240108_Poo_Syn_Half1,-45866924627512630,NA
5-Methylcytosine,240108_Poo_Syn_Half2,-37411636309827784,NA
5-Methylcytosine,240108_Poo_Syn_Half3,-11585245813581994,NA
5-Methylcytosine,240108_Smp_25ppt_A,-7771396214847103,25
5-Methylcytosine,240108_Smp_25ppt_B,-12792306684645274,25
5-Methylcytosine,240108_Smp_25ppt_Blk,-2767140831335962.5,25
5-Methylcytosine,240108_Smp_30ppt_A,-17309247658536804,30
5-Methylcytosine,240108_Smp_30ppt_B,-16812405199254440,30
5-Methylcytosine,240108_Smp_30ppt_Blk,-986612673540729.75,30
5-Methylcytosine,240108_Smp_35ppt_A,-52530598560858544,35
5-Methylcytosine,240108_Smp_35ppt_B,-13951966517890722,35
5-Methylcytosine,240108_Smp_35ppt_Blk,-3804746440325694,35
5-Methylcytosine,240108_Smp_40ppt_A,-23575494199800844,40
5-Methylcytosine,240108_Smp_40ppt_B,-53006233841588e3,40
5-Methylcytosine,240108_Smp_40ppt_Blk,-5510754411103432,40
Acetylcholine,240108_Poo_Syn_Full1,41023273368429.46,NA
Acetylcholine,240108_Poo_Syn_Full2,NA,NA
Acetylcholine,240108_Poo_Syn_Full3,26870421183306.066,NA
Acetylcholine,240108_Poo_Syn_Half1,NA,NA
Acetylcholine,240108_Poo_Syn_Half2,51982875760895.484,NA
Acetylcholine,240108_Poo_Syn_Half3,129977570209195.88,NA
Acetylcholine,240108_Smp_25ppt_A,9998827680205.965,25
Acetylcholine,240108_Smp_25ppt_B,7303160930438.406,25
Acetylcholine,240108_Smp_25ppt_Blk,0,25
Acetylcholine,240108_Smp_30ppt_A,10298844367618.09,30
Acetylcholine,240108_Smp_30ppt_B,4352083995003.426,30
Acetylcholine,240108_Smp_30ppt_Blk,4949548312061.481,30
Acetylcholine,240108_Smp_35ppt_A,5878687462196.113,35
Acetylcholine,240108_Smp_35ppt_B,44250288580065.12,35
Acetylcholine,240108_Smp_35ppt_Blk,14916612614005.336,35
Acetylcholine,240108_Smp_40ppt_A,68954351492907.38,40
Acetylcholine,240108_Smp_40ppt_B,35022361746318.51,40
Acetylcholine,240108_Smp_40ppt_Blk,43633253132139.32,40
Adenine,240108_Poo_Syn_Full1,2502448148072557e3,NA
Adenine,240108_Poo_Syn_Full2,2500713729612644400,NA
Adenine,240108_Poo_Syn_Full3,2568850004947522e3,NA
Adenine,240108_Poo_Syn_Half1,2509284759379079700,NA
Adenine,240108_Poo_Syn_Half2,2671626612003574300,NA
Adenine,240108_Poo_Syn_Half3,2795439861317093e3,NA
Adenine,240108_Smp_25ppt_A,2326325741148318700,25
Adenine,240108_Smp_25ppt_B,2440140740940629e3,25
Adenine,240108_Smp_25ppt_Blk,77297172635802530,25
Adenine,240108_Smp_30ppt_A,2031923203156556800,30
Adenine,240108_Smp_30ppt_B,3218319985517478e3,30
Adenine,240108_Smp_30ppt_Blk,120710620780150820,30
Adenine,240108_Smp_35ppt_A,3950655852555470300,35
Adenine,240108_Smp_35ppt_B,2833875099107874e3,35
Adenine,240108_Smp_35ppt_Blk,55760058162210216,35
Adenine,240108_Smp_40ppt_A,1887088388928683500,40
Adenine,240108_Smp_40ppt_B,2888948760593394700,40
Adenine,240108_Smp_40ppt_Blk,151060308205047420,40
Adenosine,240108_Poo_Syn_Full1,680586880481577700,NA
Adenosine,240108_Poo_Syn_Full2,711328473614934100,NA
Adenosine,240108_Poo_Syn_Full3,696042086105310700,NA
Adenosine,240108_Poo_Syn_Half1,700936277908482700,NA
Adenosine,240108_Poo_Syn_Half2,699825051025443800,NA
Adenosine,240108_Poo_Syn_Half3,698654638466915100,NA
Adenosine,240108_Smp_25ppt_A,1409308070970245400,25
Adenosine,240108_Smp_25ppt_B,677137022364206e3,25
Adenosine,240108_Smp_25ppt_Blk,1958154461215384.2,25
Adenosine,240108_Smp_30ppt_A,408490433480929150,30
Adenosine,240108_Smp_30ppt_B,3.9560144895465997e+17,30
Adenosine,240108_Smp_30ppt_Blk,2043709981503014.8,30
Adenosine,240108_Smp_35ppt_A,825189296015159600,35
Adenosine,240108_Smp_35ppt_B,458650005092512e3,35
Adenosine,240108_Smp_35ppt_Blk,1472471785985033.8,35
Adenosine,240108_Smp_40ppt_A,863483094444683900,40
