samp,cmpd_name,bmis_area,sal,conc
240108_Smp_35ppt_B,"2,3-Pyridinedicarboxylic acid",1630103.1787610033,35,0
240108_Smp_35ppt_Blk,"2,3-Pyridinedicarboxylic acid",4188366.32791521,35,0
240108_Smp_40ppt_A,"2,3-Pyridinedicarboxylic acid",106854.46528829249,40,0
240108_Smp_40ppt_B,"2,3-Pyridinedicarboxylic acid",360617.03478365595,40,0
240108_Smp_40ppt_Blk,"2,3-Pyridinedicarboxylic acid",1081089.857914133,40,0
240108_Std_4uMStdsMix2InH2O_1,"2,3-Pyridinedicarboxylic acid",NA,NA,5
240108_Std_4uMStdsMix2InH2O_2,"2,3-Pyridinedicarboxylic acid",NA,NA,5
240108_Std_4uMStdsMix2InSynMatrix_1,"2,3-Pyridinedicarboxylic acid",NA,NA,5
240108_Std_4uMStdsMix2InSynMatrix_2,"2,3-Pyridinedicarboxylic acid",NA,NA,5
240108_Poo_Syn_Full1,2-Heptyl-3-hydroxy-quinolone,344982.80472428334,NA,0
240108_Poo_Syn_Full2,2-Heptyl-3-hydroxy-quinolone,63860.71140403001,NA,0
240108_Poo_Syn_Full3,2-Heptyl-3-hydroxy-quinolone,208990.2657755507,NA,0
240108_Poo_Syn_Half1,2-Heptyl-3-hydroxy-quinolone,119559.27045365961,NA,0
240108_Poo_Syn_Half2,2-Heptyl-3-hydroxy-quinolone,138696.0648367775,NA,0
240108_Poo_Syn_Half3,2-Heptyl-3-hydroxy-quinolone,36572.03647411919,NA,0
240108_Smp_25ppt_A,2-Heptyl-3-hydroxy-quinolone,169607.28391551963,25,0
240108_Smp_25ppt_B,2-Heptyl-3-hydroxy-quinolone,271687.0619951682,25,0
240108_Smp_25ppt_Blk,2-Heptyl-3-hydroxy-quinolone,63777.41402984467,25,0
240108_Smp_30ppt_A,2-Heptyl-3-hydroxy-quinolone,44658.15920362145,30,0
240108_Smp_30ppt_B,2-Heptyl-3-hydroxy-quinolone,81000.38499413498,30,0
240108_Smp_30ppt_Blk,2-Heptyl-3-hydroxy-quinolone,56272.05148665786,30,0
240108_Smp_35ppt_A,2-Heptyl-3-hydroxy-quinolone,253866.7886933625,35,0
240108_Smp_35ppt_B,2-Heptyl-3-hydroxy-quinolone,70026.89218124823,35,0
240108_Smp_35ppt_Blk,2-Heptyl-3-hydroxy-quinolone,111231.75911296334,35,0
240108_Smp_40ppt_A,2-Heptyl-3-hydroxy-quinolone,112124.44678941189,40,0
240108_Smp_40ppt_B,2-Heptyl-3-hydroxy-quinolone,292147.13443763263,40,0
240108_Smp_40ppt_Blk,2-Heptyl-3-hydroxy-quinolone,302820.684687066,40,0
240108_Std_4uMStdsMix1InH2O_1,2-Heptyl-3-hydroxy-quinolone,NA,NA,4
240108_Std_4uMStdsMix1InH2O_2,2-Heptyl-3-hydroxy-quinolone,NA,NA,4
240108_Std_4uMStdsMix1InSynMatrix_1,2-Heptyl-3-hydroxy-quinolone,NA,NA,4
240108_Std_4uMStdsMix1InSynMatrix_2,2-Heptyl-3-hydroxy-quinolone,NA,NA,4
240108_Poo_Syn_Full1,2-O-alpha-D-Glucosylglycerol,242663686.53211555,NA,0
240108_Poo_Syn_Full2,2-O-alpha-D-Glucosylglycerol,218511057.83143824,NA,0
240108_Poo_Syn_Full3,2-O-alpha-D-Glucosylglycerol,223870077.5204518,NA,0
240108_Poo_Syn_Half1,2-O-alpha-D-Glucosylglycerol,225489935.43697876,NA,0
240108_Poo_Syn_Half2,2-O-alpha-D-Glucosylglycerol,229379959.79937097,NA,0
240108_Poo_Syn_Half3,2-O-alpha-D-Glucosylglycerol,240977152.24703017,NA,0
240108_Smp_25ppt_A,2-O-alpha-D-Glucosylglycerol,32271595.545572724,25,0
240108_Smp_25ppt_B,2-O-alpha-D-Glucosylglycerol,31612763.98628835,25,0
240108_Smp_25ppt_Blk,2-O-alpha-D-Glucosylglycerol,0,25,0
240108_Smp_30ppt_A,2-O-alpha-D-Glucosylglycerol,124035137.66742077,30,0
240108_Smp_30ppt_B,2-O-alpha-D-Glucosylglycerol,161334950.84593844,30,0
240108_Smp_30ppt_Blk,2-O-alpha-D-Glucosylglycerol,0,30,0
240108_Smp_35ppt_A,2-O-alpha-D-Glucosylglycerol,437969703.06559837,35,0
240108_Smp_35ppt_B,2-O-alpha-D-Glucosylglycerol,360704171.1853402,35,0
240108_Smp_35ppt_Blk,2-O-alpha-D-Glucosylglycerol,0,35,0
240108_Smp_40ppt_A,2-O-alpha-D-Glucosylglycerol,431108140.43604034,40,0
240108_Smp_40ppt_B,2-O-alpha-D-Glucosylglycerol,391528165.24017537,40,0
240108_Smp_40ppt_Blk,2-O-alpha-D-Glucosylglycerol,0,40,0
240108_Std_4uMStdsMix2InH2O_1,2-O-alpha-D-Glucosylglycerol,NA,NA,4
240108_Std_4uMStdsMix2InH2O_2,2-O-alpha-D-Glucosylglycerol,NA,NA,4
240108_Std_4uMStdsMix2InSynMatrix_1,2-O-alpha-D-Glucosylglycerol,NA,NA,4
240108_Std_4uMStdsMix2InSynMatrix_2,2-O-alpha-D-Glucosylglycerol,NA,NA,4
240108_Poo_Syn_Full1,4-Aminobutyric acid,311732634.70673996,NA,0
240108_Poo_Syn_Full2,4-Aminobutyric acid,241896538.28464517,NA,0
240108_Poo_Syn_Full3,4-Aminobutyric acid,302195869.3573453,NA,0
240108_Poo_Syn_Half1,4-Aminobutyric acid,387434043.79462975,NA,0
240108_Poo_Syn_Half2,4-Aminobutyric acid,508435615.4880383,NA,0
240108_Poo_Syn_Half3,4-Aminobutyric acid,682829919.2731789,NA,0
240108_Smp_25ppt_A,4-Aminobutyric acid,189743668.46960568,25,0
240108_Smp_25ppt_B,4-Aminobutyric acid,90356776.01618454,25,0
240108_Smp_25ppt_Blk,4-Aminobutyric acid,298239971.2950522,25,0
240108_Smp_30ppt_A,4-Aminobutyric acid,146543056.40023646,30,0
240108_Smp_30ppt_B,4-Aminobutyric acid,174400142.7523658,30,0
240108_Smp_30ppt_Blk,4-Aminobutyric acid,308180533.12713647,30,0
240108_Smp_35ppt_A,4-Aminobutyric acid,430061987.22175705,35,0
240108_Smp_35ppt_B,4-Aminobutyric acid,400155036.0268169,35,0
240108_Smp_35ppt_Blk,4-Aminobutyric acid,352787360.4897593,35,0
240108_Smp_40ppt_A,4-Aminobutyric acid,272734624.2390455,40,0
240108_Smp_40ppt_B,4-Aminobutyric acid,314809085.31626683,40,0
240108_Smp_40ppt_Blk,4-Aminobutyric acid,362210163.60653305,40,0
240108_Std_4uMStdsMix2InH2O_1,4-Aminobutyric acid,NA,NA,4
240108_Std_4uMStdsMix2InH2O_2,4-Aminobutyric acid,NA,NA,4
240108_Std_4uMStdsMix2InSynMatrix_1,4-Aminobutyric acid,NA,NA,4
240108_Std_4uMStdsMix2InSynMatrix_2,4-Aminobutyric acid,NA,NA,4
240108_Poo_Syn_Full1,5-Hydroxyectoine,362136.34652039036,NA,0
240108_Poo_Syn_Full2,5-Hydroxyectoine,697725.8821643684,NA,0
240108_Poo_Syn_Full3,5-Hydroxyectoine,916448.2151303838,NA,0
240108_Poo_Syn_Half1,5-Hydroxyectoine,1110765.3418162265,NA,0
240108_Poo_Syn_Half2,5-Hydroxyectoine,813435.1371951678,NA,0
240108_Poo_Syn_Half3,5-Hydroxyectoine,1481042.679668239,NA,0
240108_Smp_25ppt_A,5-Hydroxyectoine,255863.33279248272,25,0
240108_Smp_25ppt_B,5-Hydroxyectoine,485454.6878484541,25,0
240108_Smp_25ppt_Blk,5-Hydroxyectoine,273331.09018977423,25,0
240108_Smp_30ppt_A,5-Hydroxyectoine,410032.5406774705,30,0
240108_Smp_30ppt_B,5-Hydroxyectoine,196359.1747152902,30,0
240108_Smp_30ppt_Blk,5-Hydroxyectoine,631191.93484286475,30,0
240108_Smp_35ppt_A,5-Hydroxyectoine,904372.2719779717,35,0
240108_Smp_35ppt_B,5-Hydroxyectoine,691077.0938295949,35,0
240108_Smp_35ppt_Blk,5-Hydroxyectoine,349874.81630640844,35,0
240108_Smp_40ppt_A,5-Hydroxyectoine,670202.3571111839,40,0
240108_Smp_40ppt_B,5-Hydroxyectoine,253329.61378779964,40,0
240108_Smp_40ppt_Blk,5-Hydroxyectoine,587934.0388900592,40,0
240108_Std_4uMStdsMix2InH2O_1,5-Hydroxyectoine,NA,NA,0.1
240108_Std_4uMStdsMix2InH2O_2,5-Hydroxyectoine,NA,NA,0.1
240108_Std_4uMStdsMix2InSynMatrix_1,5-Hydroxyectoine,NA,NA,0.1
240108_Std_4uMStdsMix2InSynMatrix_2,5-Hydroxyectoine,NA,NA,0.1
240108_Poo_Syn_Full1,5-Methylcytosine,783764.9887385953,NA,0
240108_Poo_Syn_Full2,5-Methylcytosine,409551.03700641624,NA,0
240108_Poo_Syn_Full3,5-Methylcytosine,930885.590819323,NA,0
240108_Poo_Syn_Half1,5-Methylcytosine,4317006.250336633,NA,0
240108_Poo_Syn_Half2,5-Methylcytosine,3521192.429979712,NA,0
240108_Poo_Syn_Half3,5-Methylcytosine,1090406.1912823308,NA,0
240108_Smp_25ppt_A,5-Methylcytosine,731445.7270852949,25,0
240108_Smp_25ppt_B,5-Methylcytosine,1204015.0579598946,25,0
240108_Smp_25ppt_Blk,5-Methylcytosine,260443.97703685495,25,0
240108_Smp_30ppt_A,5-Methylcytosine,1629150.6556710782,30,0
